Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,"VORP
▼",Awards
1,Nikola Jokić,30,DEN,C,22,22,768,35.5,0.716,0.286,0.429,10.8,28.3,20.1,49.4,1.9,2.1,14.5,29.1,5.1,1.1,6.2,0.385,12.3,4.1,16.4,3.6,
2,Shai Gilgeous-Alexander,27,OKC,PG,23,23,767,33.6,0.686,0.258,0.527,1.7,13.3,7.9,33.6,2.1,2.1,6.6,33.3,4.6,1.6,6.2,0.391,10.2,3.1,13.4,2.9,
3,Tyrese Maxey,25,PHI,PG,22,22,878,23.4,0.604,0.412,0.33,0.9,11.9,6.4,30.2,2.1,2,9.1,30.3,2.5,1,3.5,0.193,5.8,0.7,6.5,1.9,
4,Luka Dončić,26,LAL,PG,16,16,591,29.5,0.627,0.473,0.522,2.8,25.3,14.5,41.9,2.1,1.5,13.3,38,2.1,0.7,2.8,0.23,8.4,1.1,9.5,1.7,
5,Mikal Bridges,29,NYK,SF,22,22,756,19.8,0.656,0.462,0.136,4,11,7.3,16.8,2.9,3.5,7,16.6,2.2,1.1,3.3,0.209,3.9,2.5,6.4,1.6,
6,Donovan Mitchell,29,CLE,SG,22,22,752,24.5,0.642,0.489,0.317,2.8,12.8,7.7,28.5,2,0.7,12.7,33,2,0.8,2.9,0.182,6.5,0,6.5,1.6,
7,Giannis Antetokounmpo,31,MIL,PF,17,17,495,34.9,0.669,0.078,0.568,13.1,26.6,20,42.1,1.6,3.1,13.2,37.6,2.2,0.6,2.9,0.278,8.7,2.2,10.9,1.6,
8,Alperen Şengün,23,HOU,C,19,19,682,22.6,0.582,0.163,0.408,9.3,18.7,14.1,29.6,1.8,2.7,14.1,26.5,1.9,1.1,3,0.211,4.7,2,6.7,1.5,
9,Deni Avdija,25,POR,SF,23,23,793,21.5,0.632,0.408,0.602,3.7,19.4,11.2,29.1,0.8,1.6,14.7,28,2.3,0.6,2.8,0.17,5.2,0,5.2,1.5,
10,Jalen Johnson,24,ATL,SF,21,21,735,23,0.63,0.255,0.379,4.4,28.1,16.4,33.7,2.1,1,15.2,26.2,1.6,1.2,2.9,0.186,3.9,1.8,5.6,1.4,
11,Austin Reaves,27,LAL,SG,19,19,696,25.4,0.69,0.46,0.578,2.5,15.1,9.1,29.6,1.5,0.3,13.9,29.2,2.9,0.5,3.3,0.23,6.5,-0.6,5.9,1.4,
12,Scottie Barnes,24,TOR,PF,24,24,807,20.7,0.598,0.24,0.251,7.2,18.9,13.1,23.3,2,4.9,12.8,24.2,1.4,1.4,2.7,0.162,2.8,2.1,4.9,1.4,
13,Cade Cunningham,24,DET,PG,20,20,734,22,0.561,0.292,0.375,4.4,14.5,9.5,39.6,2,2.1,13.8,31.9,1.4,1.1,2.5,0.164,4.6,0.8,5.4,1.4,
14,James Harden,36,LAC,PG,22,22,774,23,0.626,0.563,0.479,1.8,15.8,8.9,39.6,1.5,1.1,15.8,31.2,2,0.4,2.4,0.15,6,-0.9,5.1,1.4,
15,Jimmy Butler,36,GSW,SF,20,20,617,24.2,0.653,0.177,0.667,7.9,12,9.9,25.7,2.4,0.7,8.3,22.3,2.6,0.8,3.4,0.262,5.1,1.3,6.4,1.3,
16,Julius Randle,31,MIN,PF,22,22,739,21.4,0.616,0.319,0.423,5.4,19.1,12.4,26.8,1.5,0.5,12.8,26.7,2,0.9,2.8,0.185,3.7,0.3,4,1.1,
17,Anthony Edwards,24,MIN,SG,18,18,612,22.8,0.633,0.432,0.356,2.8,12.2,7.6,19.1,1.7,2,11.7,31.9,1.4,0.7,2.1,0.162,5.4,-0.2,5.2,1.1,
18,Franz Wagner,24,ORL,SF,23,23,794,20.1,0.598,0.262,0.434,4.9,15.1,10,17.3,1.6,1,8.7,25.9,1.8,1,2.9,0.173,3,0.4,3.4,1.1,
19,Jamal Murray,28,DEN,PG,21,21,736,21.9,0.635,0.411,0.227,1.6,12.4,7.4,28.6,1.5,0.9,11.3,26.6,2.2,0.5,2.8,0.18,5.3,-1.6,3.7,1.1,
20,Reed Sheppard,21,HOU,SG,20,4,502,17.9,0.606,0.573,0.102,1.4,12.3,7,18.5,3.3,2.1,10.4,19.7,1.1,0.9,2,0.191,3.2,3,6.1,1,
21,Jaylen Brown,29,BOS,SF,22,22,735,23,0.586,0.275,0.323,3.4,16.8,10.1,25.3,1.7,1.1,12.7,36.5,1.3,0.8,2.1,0.135,4,-0.5,3.5,1,
22,Evan Mobley,24,CLE,PF,23,23,783,19,0.584,0.306,0.404,7.7,21.5,14.5,18.1,1.4,4.7,12.8,22.6,1.1,1.2,2.2,0.137,1.8,1.1,2.9,1,
23,Stephen Curry,37,GSW,PG,16,16,497,22.8,0.641,0.619,0.277,1.1,12,6.5,24.6,2,1.6,12.6,33.9,0.9,0.6,1.5,0.143,6,-0.3,5.7,1,
24,Josh Giddey,23,CHI,PG,20,20,682,20.1,0.585,0.305,0.414,4.3,25.4,15.2,39.5,1.4,1,17.3,25.7,1,0.7,1.7,0.122,2.9,0.6,3.5,0.9,
25,Lauri Markkanen,28,UTA,PF,22,22,773,21.4,0.613,0.426,0.349,6.7,13.8,10.2,9.8,1.1,1,5,27.6,2.3,0.1,2.4,0.148,5.3,-2.4,2.9,0.9,
26,Derrick White,31,BOS,SG,22,22,726,16.8,0.519,0.582,0.179,2.9,10.8,6.8,22.3,2.3,3.8,8.8,23.5,0.9,0.8,1.8,0.117,2.2,0.7,2.9,0.9,
27,Karl-Anthony Towns,30,NYK,C,22,22,729,21.8,0.601,0.343,0.418,10,30.7,19.9,14.9,1.2,2.3,12.2,26.8,1.8,1.1,2.9,0.19,2.9,0,2.9,0.9,
28,Victor Wembanyama,22,SAS,C,12,12,416,25.7,0.609,0.262,0.38,6.6,34.8,20.9,18.8,1.5,9.3,14.3,30.7,0.6,0.9,1.6,0.182,3.1,3.5,6.6,0.9,
29,Norman Powell,32,MIA,SG,18,18,553,20.8,0.66,0.42,0.389,1.2,10.6,6.1,12.4,1.7,0.8,9.5,27.9,1.3,0.7,2,0.17,3.9,0.5,4.4,0.9,
30,Michael Porter Jr.,27,BRK,SF,18,18,591,21.5,0.616,0.485,0.259,3.9,23.7,13.2,19.1,1.3,0.6,9.5,29.7,1,0.3,1.4,0.112,5,-1.1,3.9,0.9,
31,Jalen Brunson,29,NYK,PG,20,20,691,21.6,0.593,0.36,0.309,1.4,9,5.1,29.3,1.1,0.2,8.9,31.2,2.1,0.5,2.6,0.181,4.5,-1.5,3,0.9,
32,Collin Gillespie,26,PHO,PG,23,4,618,16.9,0.601,0.66,0.107,4,12.2,8,25.9,2.1,1.1,13.8,20,1.2,0.6,1.8,0.142,3.3,0.3,3.6,0.9,
33,Josh Hart,30,NYK,SF,21,7,612,16.9,0.613,0.443,0.24,6.8,23.1,14.6,23.5,2.1,1,17.9,16.8,1.2,0.9,2,0.159,1.7,1.7,3.4,0.8,
34,Pascal Siakam,31,IND,PF,22,22,752,19.9,0.566,0.265,0.391,4.9,17.8,11.1,21.8,1.7,1.3,9.1,29,0.9,0.7,1.6,0.104,3,-0.5,2.5,0.8,
35,Isaiah Hartenstein,27,OKC,C,19,19,528,21.2,0.678,0.027,0.336,13.9,27.8,21.3,17.1,2.2,2.9,18.6,17.3,1.3,1.4,2.7,0.247,1.5,2.7,4.2,0.8,
36,Immanuel Quickley,26,TOR,PG,24,24,774,16.4,0.593,0.516,0.196,1.5,13.6,7.6,27.5,1.8,0.1,11.3,20.8,1.2,0.9,2.2,0.133,1.9,0.2,2.1,0.8,
37,Kevin Durant,37,HOU,SF,18,18,640,19.8,0.62,0.267,0.395,1.1,14.2,7.8,16.8,1.5,1.8,12.7,26.9,1.6,0.9,2.5,0.186,2.5,0.4,2.9,0.8,
38,Kawhi Leonard,34,LAC,SF,13,13,413,25,0.617,0.324,0.286,2.2,18.1,10.3,18.3,3.1,1.2,8.7,31.5,0.9,0.4,1.3,0.151,5,0.3,5.3,0.8,
39,Jalen Suggs,24,ORL,PG,18,18,446,18.4,0.601,0.544,0.256,3.5,13.9,8.7,28.7,3.7,2.1,18.4,24.8,0.4,0.9,1.3,0.136,1.7,2.9,4.6,0.7,
40,Goga Bitadze,26,ORL,C,22,0,376,20.8,0.767,0.091,0.481,11.2,23,17.1,12.3,1.9,6.5,13,11.9,1.2,0.8,1.9,0.248,1.6,3.7,5.3,0.7,
41,Bam Adebayo,28,MIA,C,17,17,525,18.7,0.587,0.351,0.319,4.9,24.4,15,11.8,1.6,2.5,10.3,24.7,0.5,1,1.4,0.132,1.8,1.3,3.1,0.7,
42,Santi Aldama,25,MEM,PF,23,2,597,16.6,0.546,0.396,0.216,5.7,20.8,13.3,18.5,1.7,2.7,8.8,20.6,0.5,0.8,1.3,0.107,1.2,1.3,2.5,0.7,
43,Nic Claxton,26,BRK,C,22,22,665,19.1,0.601,0.054,0.502,10,19.4,14.4,22.9,1.2,4,11.7,18.1,1.5,0.4,1.9,0.141,1.2,0.8,2,0.7,
44,Cam Spencer,25,MEM,SG,23,1,478,17.4,0.677,0.641,0.235,1.3,9.4,5.4,27.3,1.6,0.4,12.6,18.7,1.2,0.4,1.6,0.16,3.1,0.5,3.6,0.7,
45,Jalen Duren,22,DET,C,20,20,581,24.2,0.696,0,0.646,16.2,26.2,21.3,9.7,1.3,3.2,16.6,22.9,1.7,1,2.7,0.224,2.5,0,2.5,0.7,
46,Chet Holmgren,23,OKC,PF,19,19,556,20,0.656,0.323,0.31,6.2,23,15.1,9,1,4.9,12.9,23.6,1,1.3,2.3,0.196,1.4,1.3,2.7,0.6,
47,Kristaps Porziņģis,30,ATL,C,13,12,337,23.6,0.631,0.395,0.413,6.3,17.5,11.9,18.4,0.8,5.7,5.7,26.3,1.1,0.4,1.5,0.219,4.2,1.2,5.4,0.6,
48,Devin Booker,29,PHO,SG,22,22,763,19.1,0.586,0.316,0.446,3.2,11.3,7.1,30.1,1.3,1,14.7,30.1,1.5,0.6,2.1,0.132,2.4,-1.2,1.2,0.6,
