Pick,Total Value,Year 1,Year 2,Year 3 team Option,Year 4 team Option
1,"$62,730,226","$13,825,920","$14,517,480","$15,208,680","$19,178,146"
2,"$56,140,114","$12,370,320","$12,989,040","$13,607,760","$17,172,994"
3,"$50,438,478","$11,108,880","$11,663,880","$12,219,840","$15,445,878"
4,"$45,487,014","$10,015,680","$10,516,560","$11,017,560","$13,937,214"
5,"$41,209,782","$9,069,840","$9,523,080","$9,976,560","$12,640,302"
6,"$37,439,131","$8,237,640","$8,649,600","$9,061,680","$11,490,211"
7,"$34,193,629","$7,520,040","$7,896,240","$8,271,960","$10,505,389"
8,"$31,340,682","$6,889,200","$7,233,720","$7,578,240","$9,639,522"
9,"$28,822,764","$6,332,520","$6,649,560","$6,966,000","$8,874,684"
10,"$27,386,800","$6,016,080","$6,316,680","$6,617,160","$8,436,880"
11,"$26,345,863","$5,715,120","$6,001,080","$6,286,920","$8,342,743"
12,"$25,333,944","$5,429,520","$5,701,200","$5,972,760","$8,230,464"
13,"$24,355,798","$5,157,960","$5,416,080","$5,673,840","$8,107,918"
14,"$23,419,859","$4,900,320","$5,145,360","$5,390,640","$7,983,539"
15,"$22,512,733","$4,655,040","$4,887,720","$5,120,400","$7,849,573"
16,"$21,393,588","$4,422,360","$4,643,520","$4,864,920","$7,462,788"
17,"$20,331,643","$4,201,080","$4,411,200","$4,621,200","$7,098,163"
18,"$19,324,472","$3,991,320","$4,190,520","$4,390,320","$6,752,312"
19,"$18,463,882","$3,811,560","$4,002,000","$4,193,040","$6,457,282"
20,"$17,730,607","$3,658,800","$3,841,680","$4,024,440","$6,205,687"
21,"$17,220,192","$3,512,520","$3,688,320","$3,864,000","$6,155,352"
22,"$16,723,992","$3,372,240","$3,540,600","$3,709,320","$6,101,832"
23,"$16,240,654","$3,237,480","$3,399,480","$3,560,880","$6,042,814"
24,"$15,769,801","$3,108,120","$3,263,400","$3,418,800","$5,979,481"
25,"$15,308,562","$2,983,320","$3,132,360","$3,282,000","$5,910,882"
26,"$14,806,816","$2,884,560","$3,028,560","$3,172,920","$5,720,776"
27,"$14,384,200","$2,801,280","$2,941,440","$3,081,840","$5,559,640"
28,"$14,298,145","$2,783,880","$2,923,560","$3,062,640","$5,528,065"
29,"$14,194,138","$2,763,960","$2,902,080","$3,040,320","$5,487,778"
30,"$14,091,596","$2,743,800","$2,880,960","$3,018,480","$5,448,356"
