2025,draft,,,,,,,,,,,,,,,,,,,,
,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,DAL,Cooper Flagg,Duke,1,21,711,358,139,71,0.466,0.256,0.8,33.9,17,6.6,3.4,1,0.068,-1.1,0.2
2,2,SAS,Dylan Harper,Rutgers University,1,10,212,134,28,34,0.505,0.333,0.758,21.2,13.4,2.8,3.4,0.7,0.16,1.4,0.2
3,3,PHI,VJ Edgecombe,Baylor,1,17,606,250,98,71,0.409,0.36,0.737,35.6,14.7,5.8,4.2,0.7,0.057,-1.9,0
4,4,CHO,Kon Knueppel,Duke,1,21,704,385,120,63,0.465,0.415,0.898,33.5,18.3,5.7,3,1.1,0.076,-0.3,0.3
5,5,UTA,Ace Bailey,Rutgers University,1,20,443,205,67,35,0.462,0.358,0.842,22.2,10.3,3.4,1.8,0.4,0.038,-2.6,-0.1
6,6,WAS,Tre Johnson,Texas,1,15,364,173,45,20,0.445,0.395,0.813,24.3,11.5,3,1.3,-0.2,-0.03,-4.9,-0.3
7,7,NOP,Jeremiah Fears,Oklahoma,1,22,605,345,72,62,0.449,0.364,0.787,27.5,15.7,3.3,2.8,0,0.001,-3,-0.2
8,8,BRK,Egor Dёmin,BYU,1,18,412,154,64,64,0.377,0.347,0.833,22.9,8.6,3.6,3.6,0,0.005,-1.9,0
9,9,TOR,Collin Murray-Boyles,South Carolina,1,17,307,121,58,20,0.535,0.409,0.667,18.1,7.1,3.4,1.2,0.7,0.115,-1.2,0.1
10,10,HOU,Khaman Maluach,Duke,1,10,44,13,6,1,0.375,0,0.875,4.4,1.3,0.6,0.1,0,-0.027,-10.4,-0.1
11,11,POR,Cedric Coward,Washington State,1,22,598,286,128,57,0.444,0.337,0.857,27.2,13,5.8,2.6,1.1,0.086,-0.6,0.2
12,12,CHI,Noa Essengue,,1,2,6,0,0,0,0,0,,3,0,0,0,-0.1,-0.414,-24.1,0
13,13,ATL,Derik Queen,Maryland,1,22,534,271,137,77,0.483,0.118,0.774,24.3,12.3,6.2,3.5,0.5,0.049,-1.2,0.1
14,14,SAS,Carter Bryant,Arizona,1,15,112,36,21,1,0.317,0.292,1,7.5,2.4,1.4,0.1,-0.1,-0.047,-8.6,-0.2
15,15,OKC,Thomas Sorber,Georgetown,,,,,,,,,,,,,,,,,
16,16,MEM,Yang Hansen,,1,11,76,28,17,7,0.286,0.071,0.875,6.9,2.5,1.5,0.6,-0.2,-0.123,-9.6,-0.1
17,17,MIN,Joan Beringer,,1,9,37,18,12,0,0.727,,0.667,4.1,2,1.3,0,0.1,0.154,-2.8,0
18,18,WAS,Walter Clayton,Florida,1,16,254,86,35,54,0.382,0.275,1,15.9,5.4,2.2,3.4,0.1,0.021,-3,-0.1
19,19,BRK,Nolan Traoré,,1,4,35,7,1,5,0.222,0.333,0.5,8.8,1.8,0.3,1.3,-0.1,-0.083,-10.3,-0.1
20,20,MIA,Kasparas Jakucionis,Illinois,1,1,1,0,0,0,0,,,1,0,0,0,0,-1.376,-42.8,0
21,21,UTA,Will Riley,Illinois,1,14,115,41,23,11,0.486,0.333,0.5,8.2,2.9,1.6,0.8,0.1,0.034,-3.1,0
22,22,ATL,Drake Powell,UNC,1,14,273,93,26,28,0.5,0.37,0.944,19.5,6.6,1.9,2,0.3,0.054,-2.8,-0.1
23,23,IND,Asa Newell,Georgia,1,13,97,47,19,3,0.471,0.444,0.778,7.5,3.6,1.5,0.2,0.3,0.133,-1.7,0
24,24,OKC,Nique Clifford,Colorado State,1,17,268,65,44,28,0.367,0.321,0.667,15.8,3.8,2.6,1.6,0,0.003,-5.1,-0.2
25,25,ORL,Jase Richardson,Michigan State,1,11,68,31,7,10,0.478,0.455,0.8,6.2,2.8,0.6,0.9,0.2,0.109,-1.1,0
26,26,BRK,Ben Saraf,,1,9,144,40,16,26,0.295,0.25,0.8,16,4.4,1.8,2.9,-0.3,-0.094,-8.1,-0.2
27,27,BRK,Danny Wolf,Michigan,1,6,70,39,18,8,0.429,0.429,0.9,11.7,6.5,3,1.3,0.2,0.144,1.7,0.1
28,28,BOS,Hugo González,,1,16,187,42,30,10,0.415,0.375,0.4,11.7,2.6,1.9,0.6,0.2,0.063,-2.7,0
29,29,PHO,Liam McNeeley,UConn,1,15,195,64,31,13,0.36,0.375,0.842,13,4.3,2.1,0.9,0.2,0.041,-4.7,-0.1
30,30,LAC,Yanic Konan Niederhauser,Penn State,1,10,54,31,13,3,0.722,,0.5,5.4,3.1,1.3,0.3,0.2,0.142,0,0
,,,Round 2,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
